Entry Type,Dataset Index,Fiber Length (km),Coincidence Window (ps),η,ση,Scale Factor s_i,Exposure Time (ms),N Points,RMS Residual,r (1/ps^2),σ_r,beta2 (ps^2/km),σ_beta2
DATASET,18,5.0,1000.0,0.6935536013758447,0.0028764706554869853,1.5258119259364993,5000.0,500,0.038953926339544434,,,,
DATASET,19,6.0,1000.0,0.6183695610263514,0.0038374367068205618,1.6873154699949529,5000.0,500,0.03467320109772515,,,,
DATASET,20,8.0,1000.0,0.6243164367122771,0.003387546771951773,1.8575124064961255,5000.0,500,0.04715996409107692,,,,
DATASET,21,9.0,1000.0,0.6365374465409792,0.003146308180036133,1.8470220474391017,5000.0,700,0.05143936456363292,,,,
DATASET,22,15.0,1000.0,0.40022922814832224,0.003823145429981225,2.267375587007589,5000.0,800,0.05305608016814267,,,,
DATASET,23,19.0,1000.0,0.3971523565781957,0.0034621642777304808,2.6460333757487353,5000.0,1000,0.0722686242503882,,,,
DATASET,24,14.0,1000.0,0.6509003634342833,0.0025988889608925545,2.2601510907868616,5000.0,1000,0.056125181036740926,,,,
DATASET,25,11.0,1000.0,0.39471775018658234,0.0036423879020589275,2.0644043859001164,5000.0,1300,0.04766647417615772,,,,
DATASET,26,16.0,1000.0,0.3794829108991046,0.002922599897068996,2.527084490909787,10000.0,2000,0.05457030619365358,,,,
DATASET,27,18.0,1000.0,0.6133762072663984,0.003456626907425404,2.3568833037832877,5000.0,1600,0.08848756877922608,,,,
DATASET,28,13.0,1000.0,0.6167557342094747,0.0032522309454418685,2.189515572892646,10000.0,2000,0.0510962913640169,,,,
DATASET,29,17.0,1000.0,0.3871923427547706,0.0035890546501117634,2.233578096617199,5000.0,1400,0.06713899670822299,,,,
DATASET,30,5.0,1000.0,0.6338066551523576,0.006992972977137694,1.77715987588489,500.0,200,0.031977113682042625,,,,
DATASET,31,10.0,1000.0,0.6029630028562978,0.007114800755903682,1.9957906391939462,500.0,267,0.04640694143023788,,,,
DATASET,32,14.0,1000.0,0.367156433163681,0.005784450534899665,2.4573261103326614,1000.0,250,0.040372422798353125,,,,
DATASET,33,12.0,1000.0,0.38479144629719847,0.007288794216037274,2.3593660970868906,1000.0,200,0.03247755397253431,,,,
DATASET,34,7.0,1000.0,0.6301990472739084,0.006809383117557317,1.8719485442704442,1000.0,250,0.02291736944345897,,,,
DATASET,35,7.0,1000.0,0.6555973738417098,0.005886243069434403,1.8636864388944916,1000.0,250,0.024690718170551938,,,,
DATASET,36,2.0,1000.0,0.6230098142609266,0.007323463015444982,1.8280192171021536,1000.0,200,0.029333960642462773,,,,
DATASET,37,14.0,1000.0,0.6272736802020674,0.003943040519906767,2.6091810720609336,10000.0,1000,0.022999859469661772,,,,
DATASET,38,15.0,1000.0,0.5971586388723955,0.0036023532836813475,2.6885666296010786,2000.0,799,0.01699199274798502,,,,
DATASET,39,20.0,1000.0,0.39617257731019767,0.009838006814344286,3.29988009893625,500.0,79,0.039082641612632286,,,,
DATASET,40,20.0,1000.0,0.6064288100365042,0.009059441525148766,3.4377126906033317,1000.0,119,0.0345776420516766,,,,
DATASET,41,20.0,4000.0,0.6302525207132151,0.011300206983058262,1.7714240956428762,1000.0,119,0.03126357037740191,,,,
DATASET,42,25.0,1000.0,0.6051441779597491,0.006102471951834716,4.025255160620503,2000.0,239,0.03901325414110717,,,,
DATASET,43,25.0,2000.0,0.6104618221788254,0.007514727231457491,2.3937027828319613,2000.0,239,0.03073288004659392,,,,
DATASET,44,25.0,4000.0,0.6315510057663044,0.007849563082584382,1.7880834235374243,2000.0,239,0.029043511790030185,,,,
DATASET,45,29.0,1000.0,0.5873425328283738,0.010113160169961957,3.0985711539749388,200.0,239,0.09479234844314614,,,,
DATASET,46,29.0,1000.0,0.6262145318052448,0.004800305053884999,4.614556047302107,5000.0,319,0.030752467107489773,,,,
DATASET,47,10.0,1000.0,0.5749687315177807,0.01644510797037177,2.1358951911160116,200.0,79,0.03704579607139636,,,,
DATASET,48,10.0,100.0,0.6463543108919948,0.0037220201658717494,16.529681781973053,500.0,119,0.10148250522239659,,,,
DATASET,49,10.0,100.0,0.6601544907174323,0.003384939080487636,15.578910040437938,1000.0,160,0.09902389438027767,,,,
DATASET,50,10.0,200.0,0.623317789160594,0.005257972610829672,8.078213509212901,1000.0,160,0.052968208051441895,,,,
DATASET,51,10.0,400.0,0.4020110791721148,0.008486561409463569,4.3260316608719975,1000.0,160,0.04121261239185058,,,,
DATASET,52,10.0,800.0,0.5902338470829034,0.01223601977705725,2.496604218057698,1000.0,160,0.030146311516763474,,,,
DATASET,53,10.0,1600.0,0.6079389279322086,0.01241326560098099,1.9032184697687633,1000.0,160,0.028519220990285046,,,,
DATASET,54,10.0,3200.0,0.602659985358959,0.013410448480268136,1.8410186040608447,1000.0,160,0.024283275569152187,,,,
DATASET,55,5.0,3200.0,0.5931959855832429,0.009177826742514293,1.859592530786779,1000.0,400,0.018121590971252658,,,,
DATASET,56,5.0,1600.0,0.5908419574686354,0.00939785216284252,1.8646144604669357,1000.0,300,0.018502277413449928,,,,
DATASET,57,5.0,800.0,0.6015475467150069,0.008331185030250605,1.898709951100639,1000.0,300,0.022846696182865164,,,,
DATASET,58,5.0,400.0,0.4055328849969853,0.00740687295631465,2.5062643616014033,1000.0,300,0.025979566164534,,,,
DATASET,59,5.0,200.0,0.37673566235519496,0.004282568542853076,4.451620887699487,1000.0,300,0.0545522086954629,,,,
