Wavelength (nm),Optical Density,Transmission (%)
1273,5.34966,4.47E-04
1272,5.00198,9.95E-04
1271,5.47502,3.35E-04
1270,5.44805,3.56E-04
1269,5.47888,3.32E-04
1268,5.0097,9.78E-04
1267,5.47173,3.37E-04
1266,5.43377,3.68E-04
1265,5.40983,3.89E-04
1264,5.38589,4.11E-04
1263,5.08339,8.25E-04
1262,5.25809,5.52E-04
1261,5.4935,3.21E-04
1260,5.22891,5.90E-04
1259,5.43478,3.67E-04
1258,5.14064,7.23E-04
1257,5.47831,3.32E-04
1256,5.31598,4.83E-04
1255,5.08874,8.15E-04
1254,5.3615,4.35E-04
1253,5.3455,4.51E-04
1252,5.3295,4.68E-04
1251,5.31355,4.86E-04
1250,5.2976,5.04E-04
1249,5.32346,4.75E-04
1248,5.34933,4.47E-04
1247,5.2874,5.16E-04
1246,5.22548,5.95E-04
1245,5.26185,5.47E-04
1244,5.29822,5.03E-04
1243,5.30016,5.01E-04
1242,5.3021,4.99E-04
1241,5.44255,3.61E-04
1240,5.083,8.26E-04
1239,6.04385,9.04E-05
1238,5.23703,5.79E-04
1237,5.34119,4.56E-04
1236,5.44534,3.59E-04
1235,5.34564,4.51E-04
1234,5.24594,5.68E-04
1233,5.26063,5.49E-04
1232,5.27531,5.31E-04
1231,5.27141,5.35E-04
1230,5.2675,5.40E-04
1229,5.2382,5.78E-04
1228,5.2089,6.18E-04
1227,5.22058,6.02E-04
1226,5.23226,5.86E-04
1225,5.3521,4.45E-04
1224,5.47195,3.37E-04
1223,5.41087,3.88E-04
1222,5.3498,4.47E-04
1221,5.43249,3.69E-04
1220,5.01517,9.66E-04
1219,5.35836,4.38E-04
1218,5.20154,6.29E-04
1217,5.25465,5.56E-04
1216,5.30775,4.92E-04
1215,5.38603,4.11E-04
1214,5.46431,3.43E-04
1213,5.36341,4.33E-04
1212,5.26251,5.46E-04
1211,5.37249,4.24E-04
1210,5.48246,3.29E-04
1209,5.39548,4.02E-04
1208,5.3085,4.91E-04
1207,5.4767,3.34E-04
1206,5.14491,7.16E-04
1205,5.49311,3.21E-04
1204,5.34131,4.56E-04
1203,5.36314,4.33E-04
1202,5.38497,4.12E-04
1201,5.4184,3.82E-04
1200,5.45183,3.53E-04
1199,5.06094,8.69E-04
1198,5.17006,6.76E-04
1197,5.23668,5.80E-04
1196,5.3033,4.97E-04
1195,5.07045,8.50E-04
1194,5.3376,4.60E-04
1193,5.32739,4.71E-04
1192,5.31718,4.82E-04
1191,5.19698,6.35E-04
1190,5.07678,8.38E-04
1189,5.48574,3.27E-04
1188,5.04853,8.94E-04
1187,5.22408,5.97E-04
1186,5.39964,3.98E-04
1185,5.48385,3.28E-04
1184,5.29104,5.12E-04
1183,5.47648,3.34E-04
1182,5.16191,6.89E-04
1181,5.04472,9.02E-04
1180,5.42754,3.74E-04
1179,5.48564,3.27E-04
1178,5.04375,9.04E-04
1177,5.01556,9.65E-04
1176,5.48738,3.26E-04
1175,5.4822,3.29E-04
1174,5.23279,5.85E-04
1173,5.1755,6.68E-04
1172,5.28729,5.16E-04
1171,5.48069,3.31E-04
1170,5.17409,6.70E-04
1169,5.25174,5.60E-04
1168,5.32939,4.68E-04
1167,5.15545,6.99E-04
1166,5.14848,7.10E-04
1165,5.45679,3.49E-04
1164,5.17043,6.75E-04
1163,5.16779,6.80E-04
1162,5.36031,4.36E-04
1161,5.28074,5.24E-04
1160,5.45834,3.48E-04
1159,5.2671,5.41E-04
1158,5.06829,8.54E-04
1157,5.05548,8.80E-04
1156,5.76458,1.72E-04
1155,5.19559,6.37E-04
1154,5.12661,7.47E-04
1153,5.09959,7.95E-04
1152,5.26703,5.41E-04
1151,5.13673,7.30E-04
1150,5.00642,9.85E-04
1149,5.08503,8.22E-04
1148,5.31039,4.89E-04
1147,5.35267,4.44E-04
1146,5.04415,9.03E-04
1145,5.49319,3.21E-04
1144,5.231,5.87E-04
1143,5.01677,9.62E-04
1142,5.38955,4.08E-04
1141,5.02741,9.39E-04
1140,5.3853,4.12E-04
1139,5.18948,6.46E-04
1138,5.08996,8.13E-04
1137,5.39622,4.02E-04
1136,5.01429,9.68E-04
1135,5.14858,7.10E-04
1134,5.40688,3.92E-04
1133,5.17576,6.67E-04
1132,5.15939,6.93E-04
1131,5.42802,3.73E-04
1130,5.48697,3.26E-04
1129,5.33122,4.66E-04
1128,5.25962,5.50E-04
1127,5.18802,6.49E-04
1126,5.20057,6.30E-04
1125,5.04858,8.94E-04
1124,5.42485,3.76E-04
1123,5.11553,7.66E-04
1122,6.70565,1.97E-05
1121,5.00016,1.00E-03
1120,6.21893,6.04E-05
1119,5.37421,4.22E-04
1118,5.27557,5.30E-04
1117,5.04196,9.08E-04
1116,5.46917,3.39E-04
1115,5.39638,4.01E-04
1114,5.21576,6.08E-04
1113,5.10755,7.81E-04
1112,5.07922,8.33E-04
1111,5.05089,8.89E-04
1110,5.48556,3.27E-04
1109,5.42023,3.80E-04
1108,5.45384,3.52E-04
1107,5.48745,3.25E-04
1106,5.42324,3.77E-04
1105,5.35904,4.37E-04
1104,5.47474,3.35E-04
1103,5.09045,8.12E-04
1102,5.38413,4.13E-04
1101,5.17781,6.64E-04
1100,5.16265,6.88E-04
1099,5.23481,5.82E-04
1098,5.45982,3.47E-04
1097,5.18483,6.53E-04
1096,5.47997,3.31E-04
1095,5.27511,5.31E-04
1094,5.22863,5.91E-04
1093,5.18215,6.57E-04
1092,5.37951,4.17E-04
1091,5.07687,8.38E-04
1090,5.34863,4.48E-04
1089,5.12038,7.58E-04
1088,5.09651,8.01E-04
1087,5.07265,8.46E-04
1086,5.12922,7.43E-04
1085,5.1858,6.52E-04
1084,5.20363,6.26E-04
1083,5.22147,6.01E-04
1082,5.23001,5.89E-04
1081,5.23856,5.77E-04
1080,5.31454,4.85E-04
1079,5.39052,4.07E-04
1078,5.25562,5.55E-04
1077,5.12073,7.57E-04
1076,5.05688,8.77E-04
1075,5.49303,3.21E-04
1074,5.03243,9.28E-04
1073,5.07182,8.48E-04
1072,5.10393,7.87E-04
1071,5.13603,7.31E-04
1070,5.13249,7.37E-04
1069,5.12895,7.43E-04
1068,5.08444,8.23E-04
1067,5.03992,9.12E-04
1066,5.03234,9.28E-04
1065,5.02476,9.45E-04
